 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303010010 TRATAMENTO DE DENGUE CLÁSSICA, 0303010029 TRATAMENTO DE DENGUE HEMORRÁGICA
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";-;-;-;-;523,20;20255,20;53148,40;62391,46;62764,67;55551,85;17125,55;7796,94;5779,28;5553,60;5027,26;3059,76;12388,34;14349,85;49308,23;80467,87;133898,69;107815,45;90114,04;39938,02;35194,46;37958,01;37747,23;81095,74;194912,26;367059,47;465731,74;311646,56;155450,26;105750,12;49777,08;29555,64;18956,36;15932,21;21176,12;28005,17;63711,81;124060,68;112380,49;95634,96;103803,62;76669,10;38873,43;22602,42;18940,45;33664,58;19385,63;25763,42;28971,78;42756,96;58356,22;51999,70;58213,79;58739,51;37089,76;26355,81;24118,69;18806,31;15551,18;17665,55;31698,06;52926,42;142013,44;161699,67;140008,28;118359,66;69127,36;47899,52;29935,29;27178,74;15843,76;27029,17;46173,64;43642,22;56748,80;51728,11;53068,78;49292,11;40902,18;34940,19;15476,06;15916,69;11783,18;20982,05;23614,36;30525,23;30549,34;40365,89;45462,37;46458,02;46222,54;27818,05;11763,66;15295,74;12684,02;17837,69;16090,16;35116,86;75921,02;87654,04;77574,01;61027,37;24199,92;15260,93;10008,20;8341,18;6731,65;8649,04;17545,64;26859,33;28887,36;30004,78;34067,25;19946,30;12379,66;8813,86;6571,10;8952,55;4372,40;4931,92;9924,65;8847,70;13005,55;16004,32;16664,70;18383,63;12395,87;4723,11;5261,87;3595,06;4222,48;9932,39;3788,88;4875,42;8393,64;5251,68;11300,91;11299,49;34155,06;11788,55;16732,30;6823,34;6722,68;7667,71;14654,21;21761,99;27548,91;30263,22;37149,70;12929,61;8595,10;10834,27;7104,12;2054,32;3627,27;5272,97;5863,05;6176,55;6632,56;5922,62;1204,99;6699555,21
"12 Acre";-;-;-;-;313,91;837,11;6970,76;3706,16;3343,41;7888,77;5259,06;1764,56;1450,95;313,91;2344,77;2227,24;2691,26;14971,51;43912,75;73028,93;44280,07;21437,33;9440,71;6535,99;6535,45;3095,02;1990,38;5193,89;10668,29;21962,33;36359,90;55820,63;49435,53;33426,21;17085,86;7375,28;5525,15;2651,08;2857,12;10219,92;17247,06;33163,49;47330,44;39447,00;29465,90;10204,23;3816,84;2279,08;3655,24;1496,34;2128,33;1470,80;3793,23;6786,54;8641,65;9790,69;8419,88;4343,83;2957,60;2342,08;4528,22;2508,42;2663,25;6026,89;6804,42;6786,68;12697,33;16848,21;8041,72;9944,64;4624,70;4871,48;3269,76;3021,80;1774,56;1630,92;2118,32;5748,64;4804,16;4757,69;12375,09;12030,16;5619,44;1526,80;9968,66;6401,19;19478,95;41119,99;50762,56;37672,07;26035,52;17609,19;11666,66;18461,49;3947,42;4356,84;14370,39;2165,47;1567,00;2284,78;1830,56;1967,83;4876,16;6493,13;5335,74;5683,64;2126,32;1255,04;1223,04;2340,09;927,28;879,28;1791,28;1247,04;2555,56;2645,84;3474,94;2431,49;2615,88;2003,71;647,52;3195,33;1276,86;1774,56;1840,10;3076,70;4445,51;6668,63;3590,73;4071,10;2831,96;3470,12;1846,56;2622,47;3342,77;9735,27;11531,68;13021,58;16783,17;7982,43;9689,16;6259,45;5337,69;3405,56;3745,22;2766,04;5829,11;7862,23;14210,23;29014,29;32994,67;27301,44;7460,88;2544,23;4557,37;911,28;1844,83;1500,02;2981,42;2505,34;9187,89;31176,44;27524,02;31864,41;16203,81;1620728,86
"13 Amazonas";-;-;-;-;261,60;16652,02;49126,32;72219,78;72468,54;59485,42;20045,51;5271,62;4125,25;3263,83;2576,01;3294,98;2473,97;7028,42;20305,24;16860,07;14978,49;10118,09;6622,11;12820,99;5334,79;5920,85;4033,84;1587,54;3922,32;2517,47;3295,15;3873,11;13239,71;12667,77;21387,53;39563,04;22765,56;26092,86;19467,91;22687,07;39308,34;56193,41;123751,17;299395,56;204488,83;62605,46;21306,49;8560,98;6637,58;5405,37;1616,28;3753,46;5114,16;5484,70;8088,54;13378,40;10620,48;3298,16;4072,70;3941,74;5988,68;6738,00;4775,98;4294,90;8558,65;8401,56;26369,85;30934,81;29859,17;32602,49;18195,65;11227,27;3589,04;5566,38;4310,05;4458,24;3122,86;5755,53;4121,10;8459,86;11304,92;13144,12;5555,77;3763,85;4044,10;1261,16;4146,98;4177,36;3915,34;4313,49;9793,68;7860,14;11029,82;10109,75;10990,75;7582,15;7301,88;6220,49;5504,56;7976,91;4145,53;12509,65;10815,08;14497,38;14131,83;12207,24;6948,86;6022,15;4530,35;1580,95;3189,84;2973,60;2759,00;5661,99;5378,52;6797,25;11665,85;6180,68;2965,96;583,52;965,23;1340,15;1290,70;1967,53;970,42;903,28;1007,22;591,52;1268,35;1587,54;3091,94;4017,77;1596,36;336,15;1860,23;1191,04;287,76;1961,60;2398,83;2137,51;4025,51;1050,36;2874,08;2540,14;1677,08;919,28;615,52;2431,49;10860,73;17950,25;12737,83;13078,54;15980,20;5894,61;4778,81;7386,53;6548,34;5642,79;1742,56;4350,06;10136,10;12628,56;13592,76;18335,06;15897,07;2222694,50
"14 Roraima";-;-;-;-;-;-;1922,75;3734,61;11111,86;26597,02;31614,26;32487,59;46935,19;56259,79;32668,13;18806,27;17345,88;19748,31;22512,23;40002,83;42801,13;27305,67;21269,56;11384,81;20398,85;24985,93;18695,17;13943,71;11975,38;9245,86;14427,22;27349,96;54854,54;44196,24;62672,41;80542,73;55057,29;31954,33;29141,48;8757,53;10317,68;7256,91;12607,72;9217,04;4488,19;5276,06;4967,35;8285,20;8484,15;9285,77;5548,95;4969,65;4541,02;6273,19;6446,34;9973,87;8422,18;11942,98;14497,71;15324,70;13856,79;7741,28;6281,99;4143,72;4573,08;1352,46;3936,51;1402,83;493,98;1989,71;3948,26;1944,58;1352,46;4248,21;1151,04;3169,92;575,52;864,69;2960,88;1109,75;3435,48;-;863,28;1927,98;4819,02;2793,04;4833,85;1694,38;6742,15;-;2131,27;2799,36;2499,19;2680,54;662,10;1655,13;5461,25;12367,49;8209,50;6142,02;1025,68;2534,19;3244,89;12308,42;1530,21;287,76;1139,04;287,76;4190,97;2202,36;1363,72;1956,27;462,11;1422,57;1477,20;3807,24;2759,25;4078,39;1845,03;4315,15;1214,82;402,90;374,10;-;803,34;-;-;716,63;711,64;-;-;374,10;754,43;661,86;850,97;1061,56;1508,67;-;1535,04;3506,80;4162,50;633,05;724,63;303,76;2354,77;1719,79;3559,17;10649,72;13594,27;11645,63;15595,64;6954,28;1055,16;-;550,05;-;287,76;537,79;-;-;-;-;-;-;-;1420690,91
"15 Pará";-;1046,40;3139,20;9999,18;44692,66;169353,97;391751,74;366557,51;351873,87;394008,44;215494,77;115178,40;54951,28;44707,87;49849,89;63293,00;98291,72;115186,72;162155,72;226749,84;278897,91;211497,40;134350,73;108679,18;75305,02;51078,93;36641,21;45903,53;65834,77;69147,83;97216,88;127202,33;214126,82;194005,67;185035,24;175967,03;145269,01;189296,22;195207,16;223891,06;250410,63;330511,82;438433,07;439971,75;465204,30;255927,18;164863,23;100150,44;79710,19;83977,72;81323,43;79677,62;118289,09;146600,89;215295,15;228362,15;250141,95;181219,48;178795,25;129264,55;104208,06;104338,03;78821,78;82022,91;90225,13;84530,03;159988,08;210818,73;219970,37;214615,06;125330,87;65803,78;42548,04;37280,65;29854,53;42931,97;41486,98;39048,57;56182,46;59868,57;82088,93;83973,64;84875,85;46576,01;36625,33;28414,75;27612,84;21561,91;34638,61;33613,18;35228,41;66456,65;107997,24;94183,47;76920,02;53573,38;31898,50;44091,20;51669,97;40732,33;55872,61;68287,75;94883,38;131450,45;161925,27;151642,35;101811,04;64766,30;40184,02;41604,10;33748,61;31907,89;32332,72;37947,81;134869,27;132406,94;140735,60;56825,34;56093,27;34695,54;21893,33;22661,60;18064,02;13119,05;9038,11;17062,38;22332,19;25140,64;32905,37;41354,36;28372,34;16794,97;13915,05;15348,37;17387,09;12955,79;14871,90;18317,84;35793,20;38732,60;45091,60;56906,34;49892,43;27923,42;32059,65;16543,48;13684,96;13990,51;22154,22;14554,83;41093,04;59638,27;41379,02;16086,88;12874,07;12715,26;928,05;3438,97;2575,90;2430,85;3332,87;4525,17;5069,33;9500,30;8556,39;15450569,09
"16 Amapá";-;-;-;261,60;-;2756,10;9710,59;10409,39;7672,78;4985,72;4633,82;4425,42;5799,88;4322,79;9053,09;1721,55;4894,07;3638,59;9123,78;9817,75;10758,14;11635,22;5938,07;2550,99;2386,39;3315,30;3743,24;1146,58;2183,31;677,64;1305,80;3375,01;9333,63;2837,36;11810,03;4855,11;9746,52;11434,19;6499,62;5517,42;10441,67;6742,37;14053,07;15995,88;18874,63;6732,32;7425,57;4904,80;3246,72;4762,54;1871,53;4168,62;24425,15;325,71;4344,32;1804,17;5356,41;4046,67;2207,03;2765,17;5624,32;10674,14;10621,90;7048,27;5993,76;1973,73;3525,13;4694,72;5605,93;5322,50;2141,93;4131,09;949,17;2616,18;3331,47;1236,39;2102,60;2055,67;979,76;2875,00;2800,67;5485,37;7054,51;3815,68;2935,01;2406,07;2753,91;3732,39;2544,85;1518,93;5469,44;7418,97;12675,63;11174,02;6583,62;8640,53;5903,45;5491,59;3385,90;2409,78;1199,04;2221,07;2624,66;2035,82;3875,60;614,88;-;520,93;1605,45;1480,41;1566,16;2701,84;599,52;946,13;1267,75;575,52;4330,95;-;622,22;2089,52;576,93;-;864,69;295,76;-;327,12;863,28;1283,29;4289,04;2156,47;1419,09;864,69;880,68;1152,45;1383,00;1179,65;735,76;311,76;1289,70;622,22;-;799,07;623,52;287,76;1737,79;287,76;-;1550,80;327,76;623,52;837,47;-;287,76;949,22;-;-;-;-;-;-;-;-;439,70;-;-;596600,00
"17 Tocantins";-;-;-;261,60;2641,64;27177,23;67844,06;58457,65;80774,55;92250,93;35786,88;8606,48;3464,80;5087,42;1761,32;2698,17;4319,07;15003,76;34963,20;32570,61;36383,44;42722,56;35058,17;27412,60;16563,52;9481,94;8476,57;9838,10;17209,84;35868,17;60529,39;61910,16;65789,18;64427,26;44569,26;20390,76;7832,68;6879,79;4450,35;11578,54;22755,03;23762,91;42427,82;26670,09;40877,14;39931,60;44099,08;30034,99;16019,89;14042,43;11683,77;19564,11;17715,12;22243,74;45450,61;45717,56;50389,82;69152,98;44371,52;18113,33;10418,48;7662,18;3229,36;9982,23;9466,17;23480,45;43945,40;53753,23;42701,84;50579,72;36426,84;18395,57;7463,95;3253,36;4588,76;6779,82;18027,37;35023,54;49007,96;35913,87;39605,43;28628,29;18378,46;14616,90;7517,90;5667,44;2558,08;3033,78;7857,52;9772,04;7057,18;14267,88;28967,20;47534,73;21760,15;11763,10;5361,40;6055,83;1872,00;7458,38;5827,57;14922,63;20208,76;31560,49;22057,92;13573,36;11483,25;4988,12;4148,64;883,95;1478,80;1478,80;14410,28;5073,87;11945,65;14947,96;17250,40;15764,87;16532,62;14195,01;1982,00;1223,04;295,76;3355,41;2141,07;1307,22;3444,41;1830,56;8087,67;6191,04;8400,03;2887,38;287,76;575,52;937,90;2099,02;3535,50;21997,25;35283,72;37450,67;31826,31;41481,32;22289,30;17690,77;4639,75;3362,87;2755,48;863,28;2099,62;2469,44;9249,92;7335,47;4498,81;4328,55;3270,37;1585,42;604,19;-;287,76;287,76;287,76;575,52;-;349,71;303,76;3014388,00
"21 Maranhão";-;4447,20;6277,06;6773,03;15068,22;19852,73;59477,76;89570,77;165831,52;204710,55;128980,34;53599,51;21440,75;16228,78;20168,15;8482,74;13088,31;21085,84;50958,90;56605,87;102514,56;106058,28;113543,64;85121,92;35379,33;24115,45;13456,51;17929,36;13468,96;29513,87;46513,32;63915,85;75677,52;119572,40;98087,18;93536,98;97295,87;134437,12;106697,69;76566,73;87348,40;109885,27;158568,81;190986,22;257496,69;202238,79;192213,29;144894,41;113600,01;120959,29;77127,51;67136,67;96390,87;131710,66;148238,40;158235,02;197514,19;171925,08;156351,93;111803,93;68728,25;55708,66;35271,26;31365,51;34973,78;38373,57;68252,46;82647,23;97776,73;125882,75;108737,94;85975,61;59769,48;64043,84;42564,11;38160,63;34149,81;39775,92;47281,75;51809,71;104349,62;134958,56;123504,06;90047,59;59602,97;56861,07;46940,68;35198,10;36347,50;48054,83;63820,33;96999,52;250772,66;233399,69;169597,94;94481,37;68686,85;58485,38;40894,88;32240,51;26858,52;49108,87;74023,63;173414,51;341469,37;333788,53;244588,49;153929,18;85086,22;50964,67;43481,85;30810,58;30503,64;48701,51;64390,58;112849,13;123007,84;86030,57;90284,06;62122,32;40693,65;25443,36;27834,52;16259,04;17641,84;16834,88;25988,53;15187,76;14673,96;33060,62;30525,64;22005,55;9345,13;9418,90;6786,48;6413,59;6202,96;11417,25;25584,17;45550,96;66890,92;133870,20;134087,24;79540,21;52736,96;31328,21;32379,48;13110,41;11774,23;19346,39;22012,19;40712,15;41300,63;21799,80;21065,22;13849,93;10271,84;7010,48;9629,45;1782,56;2813,04;2495,38;9894,52;7060,06;7188,28;11793401,76
"22 Piauí";-;-;-;523,20;261,60;6908,55;24229,37;36505,88;101798,23;126463,27;63885,64;26535,72;15849,34;15209,32;6493,62;4005,00;7666,51;13377,54;22791,53;42626,81;73581,26;93358,84;91065,68;106239,86;72891,57;43789,20;32409,01;21723,95;27882,09;25809,35;51581,48;80829,55;114918,40;121338,02;172397,62;142472,67;105962,34;72526,12;44339,67;25735,94;27255,97;39444,18;74523,49;82116,35;133677,61;118219,16;134764,50;106639,55;46255,37;36589,58;30570,35;21123,06;27017,56;37212,98;45475,96;69350,02;71015,79;129810,73;140723,14;91938,23;62639,58;36329,68;18503,60;12427,17;16766,90;20833,99;24200,22;50336,17;61984,89;64560,03;68069,62;59816,97;33640,50;20892,81;17067,93;12140,65;10733,07;11802,30;20197,39;19369,60;17390,14;40932,17;73850,39;72269,63;76533,08;34399,16;29601,58;19843,58;10226,62;12613,78;17004,49;20382,90;63897,44;93402,87;67679,57;40828,66;22431,82;11994,12;9248,52;6346,52;7984,88;6775,48;14191,49;24347,32;23754,97;42768,63;44598,49;32057,74;16976,03;13235,60;4492,41;8447,89;4142,59;2809,74;14031,63;9947,48;9871,84;15034,84;36014,31;29884,12;35035,07;19263,36;4388,79;4746,11;4620,16;4404,40;5070,87;3589,12;3812,88;7645,76;13313,10;13803,71;10143,20;5325,63;4478,55;4733,84;3237,36;2639,25;4575,86;10802,76;14568,51;31440,52;76802,01;56364,58;37618,88;15745,45;7377,75;3182,86;3417,08;1506,16;4887,30;3828,88;5083,48;4695,91;5982,82;5275,04;5737,80;621,47;879,28;587,52;-;895,28;879,28;1582,16;2749,20;5701603,92
"23 Ceará";-;261,60;1641,60;2977,66;9692,56;23993,83;126745,66;263609,72;455542,83;710050,74;543738,25;252718,98;86810,95;41436,45;27378,94;34565,78;27478,91;33193,24;37550,17;94658,09;132147,93;82341,63;87679,68;65279,10;39572,56;21149,86;11336,30;18993,60;25903,06;45768,98;51476,63;97024,42;189576,66;136877,43;187930,61;190403,52;136340,62;121371,77;115601,37;135529,09;183744,78;265600,75;325361,51;399714,89;588286,80;575217,85;329123,05;180797,88;102792,02;75354,38;52224,87;53043,30;47098,58;62025,28;88322,70;90308,49;162600,95;272298,10;298330,17;134491,27;70285,92;38187,21;25190,14;28216,48;34958,43;40327,61;57339,49;55489,48;91976,87;121171,34;145457,09;141751,26;135961,66;116060,65;74449,50;53344,16;34790,29;30537,79;46809,47;57494,76;69874,12;122872,25;156147,09;149698,19;139906,71;91870,90;63797,18;52389,82;42422,61;49033,30;67600,67;127721,14;237090,87;300205,15;420817,20;389383,63;215566,04;135559,52;74794,41;43348,49;31603,38;38786,00;43987,76;65209,99;107912,31;187040,82;227851,13;139973,37;78385,29;50547,58;34810,76;29156,38;31534,79;23530,79;36569,76;53078,59;108157,86;118007,50;106329,38;81798,18;30832,46;20490,14;16010,77;14425,77;17646,18;12015,55;15001,80;12031,18;20874,61;32327,60;23556,25;17297,40;20618,14;17581,16;12207,08;9290,76;11950,08;7872,07;13924,75;19098,76;34335,31;63369,68;104609,07;93794,08;70516,55;58448,54;33214,94;24446,52;18752,72;18738,19;20098,35;74029,05;86706,79;74398,08;71503,09;67324,58;69188,25;44357,16;24428,07;15191,61;32311,47;11802,30;13840,76;16772,22;12153,61;16396642,41
